cv_id,person_ref,entry_mode,official_title,rank,tenure,location_ref,time_ref,event_type,source_book,source_chapter,source_text
"cv_ghpl_000","meso_xie_he","谢赫","","南齐时人（姚最评其中兴以后，众人莫及）","","","","南齐","Official_Post","《古画品录》","序","夫画品者，盖众画之优劣也。圖繪者，莫不明劝戒，著升沉，千載寂寥，披圖可鉴。虽画有六法，罕能尽該，而自古及今，各善一节。 六法者何？一气韻生动是也；二骨法用笔是也；三应物象形是也；四随类赋彩是也；五經營位置是也；六傳移模写是也。唯陆探微、衛协备该之矣。然迹有巧拙，艺無古今，謹依远近，随其品第，裁成序引。故此所述，不广其源，但傳出自神仙，莫之聞見也。"
"cv_ghpl_001","meso_lu_tanwei","陆探微","","事五代宋明帝","宫廷画师（无明确品阶）","","吴人","南朝宋（宋文帝至明帝间）","Official_Post","《古画品录》","第一品","穷理尽性,事絕言象。包前孕后,古今独立。非复激揚所能称赞,但价重之極乎上,上品之外,無他寄言,故屈标第一等。"
"cv_ghpl_002","meso_cao_buxing","曹不兴","","事孙权","宫廷画师（无明确品阶）","","吴兴；秘阁之内","三国吴","Official_Post","《古画品录》","第一品","不兴之迹，殆莫复傳，唯秘閣之内,一龙而已。观其風骨,名豈虚成。"
"cv_ghpl_003","meso_wei_xie","衛协","","","","","","西晋","Travel","《古画品录》","第一品","占画之略,至协始精。六法之中，迨为兼善。虽不說备形妙,頗得壯气。凌跨群雄,曠代絕笔。"
"cv_ghpl_004","meso_zhang_mo","張墨","","","","","","西晋","Travel","《古画品录》","第一品","風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。"
"cv_ghpl_005","meso_xun_xu","荀勗","","在魏为大将军；入晋封济北侯","第一品（大将军）；列侯（济北侯）","","颍川","西晋","Official_Post","《古画品录》","第一品","風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。"
"cv_ghpl_006","meso_gu_junzhi","顧駿之","","居武帝左右","宫廷侍臣/画师（无明确品阶）","","吴；层楼","南朝宋（宋大明中）","Official_Post","《古画品录》","第二品","神韻气力,不逮前賢;精微謹細,有过往哲。始变古則今,赋彩制形,皆創新意。若包牺始更封体,史籀初改画法。常結構層楼,以为画所,風雨炎暑之时,故不操笔;天和气爽之日,乃含毫。登楼去梯,妻子罕見。画蟬雀,駿之始也。宋大明中,天下莫敢竞矣。"
"cv_ghpl_007","meso_lu_sui","陆绥","","","","","","南朝宋","Travel","《古画品录》","第二品","体韻遒举,風彩飄然。一点一拂,动笔皆奇。傳世盖少,所謂希见卷軸,故为宝也。"
"cv_ghpl_008","meso_yuan_qian","袁蒨","","","","","","南朝宋","Travel","《古画品录》","第二品","比方陆氏,最为高逸。象人之妙,亞美前賢。但志守师法,更無新意;然和璧微玷,豈貶十城之价也。"
"cv_ghpl_009","meso_yao_tandu","姚昙度","","","","","吴","南齐","Travel","《古画品录》","第三品","画有逸方,巧变锋出。魑魁神鬼，皆能绝妙。固流眞为，雅郑兼善，莫不俊拔,出人意表。天挺生知,非学所及。虽机微长短,往往失之,而舆皂之中,莫与为匹。岂直栋梁萧艾,可搪揬与璠者哉!"
"cv_ghpl_010","meso_gu_kaizhi","顾恺之","","","","","晋陵无锡；瓦棺寺","东晋","Travel","《古画品录》","第三品","除体精微,笔无妄下,但迹不逮意,声过其实。"
"cv_ghpl_011","meso_mao_huiyuan","毛惠远","","","","","荥阳阳武","南齐","Travel","《古画品录》","第三品","画体周瞻,无适弗该。出入穷奇,纵横逸笔。力遒韵雅,超迈绝伦。其挥霍必也极妙,至于定质,愧然未尽其善。神鬼及马,泥滞于射,颇有拙也。"
"cv_ghpl_012","meso_xia_zhan","夏瞻","","","","","","西晋","Travel","《古画品录》","第三品","虽气力不足,而精彩有余。擅名远代,事非虚美。"
"cv_ghpl_013","meso_dai_kui","戴逵","","","","","谯郡銍；浙江会稽之剡县","东晋","Travel","《古画品录》","第三品","情韵连绵,风趣巧拔,善图贤圣,百工所范。荀卫以后,實為領袖,及子顒,能繼其善。"
"cv_ghpl_014","meso_jiang_sengbao","江僧宝","","","","","江陵长庆寺；江宁景公寺","南朝宋/梁","Travel","《古画品录》","第三品","斟酌远陆,亲渐朱蓝。用笔骨梗,甚有师法。像人之外,非其所长也。"
"cv_ghpl_015","meso_wu_jian","吴暕","","","","","京洛","南朝宋","Travel","《古画品录》","第三品","体法雅媚,制置才巧,擅美当年,有声京洛。"
"cv_ghpl_016","meso_zhang_ze","张则","","","","","","南朝宋","Travel","《古画品录》","第三品","意思横逸,动笔新奇;师心独见,鄙于综采。变巧不竭,若环之无端。景多触目。谢题徐落云,此二人后,不得预焉。"
"cv_ghpl_017","meso_lu_gao","陆杲","","初仕南齐；入梁后官至特进扬州大中正","第二品（特进）；第三品（扬州大中正）","","吴郡","南朝梁","Official_Post","《古画品录》","第三品","体致不凡,跨迈流俗。时有合作,往往出人。点画之间,动流恢服。传于后者,殆不盈握。桂枝一芳,足徵本性；流液之素,难效其功。"
"cv_ghpl_018","meso_qu_daomin","蘧道愍","","","","","寺壁","南齐","Travel","《古画品录》","第四品","竝善寺壁,兼長畫扇。人馬分數,毫厘不失；別體之妙,亦為入神。"
"cv_ghpl_019","meso_zhang_jibo","章继伯","","","","","寺壁","南齐","Travel","《古画品录》","第四品","竝善寺壁,兼長畫扇。人馬分數,毫厘不失；別體之妙,亦為入神。"
"cv_ghpl_020","meso_gu_baoxian","顾宝先","","尚书水部郎","第六品（尚书水部郎）","","吴郡","南朝宋（宋大明中）","Official_Post","《古画品录》","第四品","全法陆家,事之宗稟；方之袁蒨,可謂小巫。"
"cv_ghpl_021","meso_wang_wei","王微","","","","","琅琊临沂；门屋一间","南朝宋","Travel","《古画品录》","第四品","竝師荀衛,各體善能。王得其細,史傳似眞。細而論之,景玄為劣。"
"cv_ghpl_022","meso_shi_daoshuo","史道硕","","","","","江陵龙兴寺；剡中本纪寺","东晋","Travel","《古画品录》","第四品","竝師荀衛,各體善能。王得其細,史傳似眞。細而論之,景玄為劣。"
"cv_ghpl_023","meso_liu_xu","刘顼","","","","","彭城安上里","南齐","Travel","《古画品录》","第五品","用意綿密,畫體簡細,而筆跡困弱,形制單省。其於所長,婦人為最。但纖細過度,翻更失眞。然觀察詳審,甚得姿態。"
"cv_ghpl_024","meso_jin_ming_di","晋明帝","","皇帝（元帝长子）","帝王","{""start"": 323, ""end"": 325, ""duration"": 3}","乐贤堂","东晋","Official_Post","《古画品录》","第五品","虽略于形色,颇得神气。笔迹超越,亦有奇观。"
"cv_ghpl_025","meso_liu_shaozu","刘绍祖","","晋太康太守","第五品（太守）","","","南朝宋","Official_Post","《古画品录》","第五品","善于传写,不闲其思。至于雀鼠,笔迹历落,往往出群,时人为之语,号曰“移画”。然述而不作,非画所先。"
"cv_ghpl_026","meso_song_bing","宋炳","Recommendation","辟台不就","未入流（不就）","{""duration"": 30}","南阳涅阳；荆巫；衡岳；衡山；江陵","南朝宋","Travel","《古画品录》","第六品","炳明于六法,迄无适善,而含毫命素,必有捐益,迹非准的,意足师放。"
"cv_ghpl_027","meso_ding_guang","丁光","","","","","","南齐","Travel","《古画品录》","第六品","虽擅名蝉雀,而笔迹轻赢,非不精谨,乏于生气。"
